CSUS	90431
CSUS	100238
CSUS	18324
CSAU	29963
CSAU	30311
CSUS	147818
CSUS	28529
CSUS	7094
CSAU	32597
CSUS	141401
CSUS	51671
CSAU	7066
CSUS	112067
CSUS	29524
CSUS	35519
CSUS	36940
CSUS	25844
CSUS	33617
CSUS	25401
CSUS	36987
CSUS	36640
CSUS	146696
CSUS	137741
CSUS	8568
CSUS	79442
CSUK	43310
CSUS	125729
CSUK	22442
CSUK	44858
CSUS	24807
CSUS	26974
CSUS	35974
CSUS	124160
CSUS	17417
CSUS	27049
CSUS	70193
CSUS	32670
CSUS	123914
CSUS	25899
CSUS	25748
CSAU	14032
CSUS	79964
CSUS	56567
CSAU	9577
CSUS	10496
CSUS	132659
CSAU	7336
CSUS	33398
CSUS	27841
CSUK	15634
CSUS	24244
CSUS	10876
CSUS	79493
CSAU	15785
CSUS	88175
CSUS	25846
CSUS	144659
CSUS	129614
CSAU	21872
CSUS	70073
CSUS	26598
CSUK	44783
CSUK	42734
CSUS	24100
CSAU	31583
CSUS	26281
CSUS	33922
CSUS	77480
CSUS	32209
CSCA	113868
CSUS	32753
CSUS	11133
CSCA	112308
CSUS	37985
CSUS	146081
CSUS	39377
CSUS	124403
CSAU	9283
CSUS	17877
CSUS	29000
CSUS	143405
CSUS	19782
CSIN	50549
CSUS	35435
CSUS	25835
CSAU	14855
CSUK	1234
CSUS	25710
CSUS	146429
CSUS	18236
CSAU	16367
CSUS	17367
CSUS	26498
CSUS	25718
CSUS	30552
CSUS	124013
CSCA	113882
CSUK	13183
CSUS	125363
CSUS	146690
CSUS	25392
CSUS	34544
CSUS	10547
CSUS	72341
CSUS	24239
CSUS	34282
CSUS	127838
CSUS	24977
CSUS	25283
CSUS	136592
CSUS	22261
CSUK	28412
CSUS	130769
CSUK	27680
CSUS	22849
CSUS	133166
CSUS	65870
CSUS	90329
CSUK	27638
CSUK	19689
CSAU	31640
CSUS	130364
CSAU	27722
CSUS	30760
CSUK	20670
CSUS	25811
CSUS	33671
CSUS	31683
CSUS	67487
CSUS	138185
CSUS	7102
CSUS	33239
CSUS	29718
CSUS	135827
CSUS	125540
CSAU	23471
CSUS	76880
CSAU	9505
CSUS	29078
CSUS	36984
CSUS	138884
CSUS	25822
CSUS|CSDE	22843|12983
CSUS	33627
CSUS	39675
CSAU	32561
CSUK	17550
CSUS	84131
CSUS	25767
CSUS	83000
CSUS	24021
CSUS	23641
CSUS	19107
CSUS	24500
CSUS	89399
CSUS	101
CSUS	17511
CSUS	24781
CSAU	14866
CSUK	17905
CSAU	31676
CSUS	33618
CSUK	17845
CSUK	41327
CSUS	1193
CSUS	24786
CSAU	7514
CSUS	39696
