CSUS90431,16,B
CSUS100238,17,B
CSUS18324,12,C
CSAU29963,27,C
CSAU30311,28,C
CSUS147818,20,C
CSUS28529,13,C
CSUS7094,11,C
CSAU32597,30,C
CSUS141401,19,C
CSUS51671,15,C
CSAU7066,21,C
CSUS112067,18,A
CSUS29524,14,A
CSUS35519,65,C
CSUS36940,67,C
CSUS25844,63,C
CSUS33617,64,C
CSUS25401,62,C
CSUS36987,68,C
CSUS36640,66,A
CSUS146696,70,C
CSUS137741,69,C
CSUS8568,61,A
CSUS79442,118,C
CSUK43310,8,C
CSUS125729,120,C
CSUK22442,4,C
CSUK44858,10,C
CSUS24807,112,C
CSUS26974,113,C
CSUS35974,116,C
CSUS124160,119,C
CSUS17417,111,C
CSUS27049,114,C
CSUS70193,117,C
CSUS32670,115,C
CSUS123914,165,C
CSUS25899,160,C
CSUS25748,159,B
CSAU14032,24,C
CSUS79964,164,C
CSUS56567,163,C
CSAU9577,23,C
CSUS10496,157,C
CSUS132659,166,B
CSAU7336,22,C
CSUS33398,162,C
CSUS27841,161,C
CSUK15634,3,C
CSUS24244,158,C
CSUS10876,197,C
CSUS79493,203,C
CSAU15785,25,C
CSUS88175,204,C
CSUS25846,199,A
CSUS144659,206,C
CSUS129614,205,C
CSAU21872,26,B
CSUS70073,202,C
CSUS26598,201,C
CSUK44783,9,B
CSUK42734,7,C
CSUS24100,198,C
CSAU31583,29,C
CSUS26281,200,C
CSUS33922,241,C
CSUS77480,244,C
CSUS32209,239,C
CSCA113868,37,B
CSUS32753,240,C
CSUS11133,237,C
CSCA112308,34,C
CSUS37985,242,C
CSUS146081,246,C
CSUS39377,243,C
CSUS124403,245,C
CSAU9283,71,C
CSUS17877,238,C
CSUS29000,283,C
CSUS143405,285,C
CSUS19782,279,B
CSUS35435,284,C
CSUS25835,281,C
CSAU14855,73,C
CSUK1234,1,B
CSUS25710,280,C
CSUS146429,286,C
CSUS18236,278,C
CSAU16367,75,C
CSUS17367,277,C
CSUS26498,282,C
CSUS25718,320,C
CSUS30552,321,A
CSUS124013,324,C
CSCA113882,38,C
CSUK13183,2,C
CSUS125363,325,C
CSUS146690,326,C
CSUS25392,319,C
CSUS34544,322,C
CSUS10547,317,C
CSUS72341,323,C
CSUS24239,318,C
CSUS34282,361,C
CSUS127838,363,C
CSUS24977,359,C
CSUS25283,360,C
CSUS136592,366,C
CSUS22261,357,C
CSUK28412,6,C
CSUS130769,364,C
CSUK27680,5,B
CSUS22849,358,C
CSUS133166,365,C
CSUS65870,362,C
CSUS90329,404,C
CSUK27638,58,C
CSUK19689,56,A
CSAU31640,78,C
CSUS130364,405,A
CSAU27722,77,C
CSUS30760,399,C
CSUK20670,57,C
CSUS25811,398,C
CSUS33671,402,C
CSUS31683,400,C
CSUS67487,403,C
CSUS138185,406,C
CSUS7102,397,B
CSUS33239,401,C
CSUS29718,439,B
CSUS135827,445,C
CSUS125540,444,C
CSAU23471,76,C
CSUS76880,443,C
CSAU9505,72,C
CSUS29078,438,A
CSUS36984,441,B
CSUS138884,446,C
CSUS25822,437,C
CSUS22843,3434,C
CSUS33627,440,C
CSUS39675,442,C
CSAU32561,80,C
CSUK17550,53,C
CSUS84131,485,C
CSUS25767,483,C
CSUS83000,484,C
CSUS24021,481,C
CSUS23641,480,C
CSUS19107,479,C
CSUS24500,482,C
CSUS89399,486,C
CSUS101,477,A
CSUS17511,478,C
CSUS24781,519,C
CSAU14866,74,C
CSUK17905,55,C
CSAU31676,79,C
CSUS33618,522,C
CSUK17845,54,C
CSUK41327,59,C
CSUS1193,517,A
CSUS24786,520,C
CSAU7514,121,C
CSUS39696,524,C
CSUS25581,521,C
CSCA110190,31,A
CSUS126626,526,B
CSAU11999,124,C
CSCA113979,39,C
CSUS1829,518,B
CSUS36594,523,C
CSUS116618,525,A
CSUS115100,565,C
CSUK16658,52,C
CSUK45110,60,C
CSUS21490,558,C
CSCA110655,32,B
CSUS32332,561,C
CSUS32997,562,C
CSUS80600,564,C
CSCA112155,33,C
CSUK4012,51,C
CSUS26615,560,C
CSUS69881,563,A
CSUS24494,559,C
CSUS315,557,B
CSAU30293,128,C
CSUS135644,566,B
CSUS121220,603,C
CSCA113839,36,C
CSAU30278,127,A
CSUK26675,106,C
CSUK17358,104,C
CSUS141164,605,C
CSAU14790,126,C
CSUS26873,597,C
CSUS130139,604,C
CSUS40118,601,C
CSUK43031,110,C
CSUS61691,602,C
CSCA114713,40,C
CSUS37145,600,B
CSUS27181,598,C
CSUK42377,109,C
CSUS145205,606,B
CSAU9491,123,C
CSUS35252,599,C
CSUS26303,640,C
CSUS7638,637,B
CSUS126134,644,C
CSUS48734,643,B
CSUS33207,642,C
CSUS141032,646,C
CSUS30603,641,C
CSUS26268,639,C
CSUK42206,108,C
CSUS24472,638,C
CSUS132911,645,C
CSAU13634,125,C
CSUS139235,694,C
CSAU9210,122,C
CSUS32508,686,C
CSUS130196,692,C
CSUS86000,691,C
CSUK12619,101,C
CSUS73049,689,C
CSUS5112,3430,A
CSUS83027,690,B
CSUS25776,685,C
CSUS36414,687,C
CSUS48056,688,C
CSUS134072,693,B
CSUS139172,724,C
CSUK25499,105,C
CSUS127670,723,C
CSUS32653,719,C
CSUS36486,720,B
CSUS25263,717,C
CSUS25493,718,C
CSUK42050,107,C
CSUS24393,716,C
CSUS12856,715,C
CSUS116861,721,C
CSUS124595,722,A
CSUS140390,753,C
CSUS25762,745,C
CSAU30974,129,C
CSUS133151,751,C
CSCA113590,35,C
CSCA110274,81,B
CSUS29621,747,C
CSUK14070,102,C
CSUS145988,754,A
CSUS67292,748,C
CSUS84014,749,C
CSUS137513,752,C
CSUS124523,750,C
CSUS26054,746,C
CSUS32278,779,C
CSUS146600,784,C
CSCA113405,86,C
CSUS10015,775,C
CSUS86621,781,A
CSUS14141,776,B
CSCA118139,90,C
CSUS20672,777,C
CSUS106652,782,C
CSUS32284,780,C
CSUS25771,778,C
CSUS130823,783,C
CSUS71117,810,C
CSAU31274,130,C
CSUS36901,808,C
CSUS144518,814,C
CSUS26003,805,C
CSUS35444,807,C
CSUK16720,103,A
CSUS59183,809,C
CSUS97613,812,C
CSUS26237,806,B
CSUS84332,811,C
CSUS116780,813,C
CSUS19060,836,C
CSUS128672,844,C
CSUS31516,841,C
CSCA111834,82,C
CSUS17074,835,B
CSUS73346,842,C
CSUS25666,838,C
CSAU14840,169,C
CSUS26012,839,C
CSUS24200,837,C
CSUK13240,147,C
CSUS26025,840,C
CSUS85466,843,C
CSUS117446,871,C
CSUS25457,868,C
CSAU9123,168,C
CSUS17518,866,C
CSUS133244,873,C
CSUS24312,867,C
CSUS76829,870,C
CSUS129968,872,C
CSUS76,865,A
CSUS40433,869,C
CSUS147140,874,C
CSUS18059,896,C
CSUK25301,149,B
CSUS136220,903,C
CSUS33621,899,C
CSUS88859,902,C
CSUS33274,898,C
CSUS137534,904,C
CSUS70211,901,C
CSUK31595,152,C
CSUS29561,897,C
CSUS36649,900,C
CSUK25931,150,C
CSAU7170,167,A
CSUS12135,895,C
CSUS121238,934,C
CSUK49358,156,C
CSUK42908,155,C
CSUS13188,925,C
CSAU17141,171,C
CSUS25639,927,C
CSUK28319,151,C
CSUS25897,928,C
CSAU30890,174,C
CSUS37674,930,B
CSUS34476,929,C
CSCA113894,87,C
CSUS25620,926,C
CSCA112866,85,C
CSAU14900,170,C
CSUK39700,153,C
CSUS85457,933,C
CSUK8325,1666,B
CSUS73391,931,C
CSUS82055,932,C
CSUS26138,954,C
CSUS32891,956,C
CSUS52187,958,C
CSUS32537,955,C
CSCA114370,89,C
CSUS84689,960,C
CSUS33801,957,C
CSUS24423,952,C
CSUS139136,961,C
CSUS76817,959,C
CSUS26011,953,C
CSUS10795,973,C
CSCA112583,84,C
CSUS140714,981,B
CSUS24036,976,C
CSUS25285,977,C
CSUS19762,974,C
CSUS84602,979,C
CSUK41342,154,C
CSUS139757,980,C
CSUS20795,975,C
CSUS4425,972,A
CSUS25725,978,A
