CSAU	31274	C
CSUS	36901	C
CSUS	144518	C
CSUS	26003	C
CSUS	35444	C
CSUK	16720	A
CSUS	59183	C
CSUS	97613	C
CSUS	26237	B
CSUS	84332	C
CSUS	116780	C
CSUS	19060	C
CSUS	128672	C
CSUS	31516	C
CSCA	111834	C
CSUS	17074	B
CSUS	73346	C
CSUS	25666	C
CSAU	14840	C
CSUS	26012	C
CSUS	24200	C
CSIN	40361	C
CSUK	13240	C
CSUS	26025	C
CSUS	85466	C
CSUK|CSUS	11888|11552	A
CSUS	117446	C
CSUS	25457	C
CSAU	9123	C
CSUS	17518	C
CSUS	133244	C
CSUS	24312	C
CSUS	76829	C
CSUS	129968	C
CSUS	76	A
CSUS	40433	C
CSUS	147140	C
CSUS	18059	C
CSUK	25301	B
CSUS	136220	C
CSUS	33621	C
CSUS	88859	C
CSUS	33274	C
CSUS	137534	C
CSUS	70211	C
CSUK	31595	C
CSUS	29561	C
CSUS	36649	C
CSUK	25931	C
CSAU	7170	A
CSUS	12135	C
CSUS	121238	C
CSUK	49358	C
CSUK	42908	C
CSUS	13188	C
CSAU	17141	C
CSUS	25639	C
CSUK	28319	C
CSUS	25897	C
CSAU	30890	C
CSUS	37674	B
CSUS	34476	C
CSCA	113894	C
CSUS	25620	C
CSCA	112866	C
CSAU	14900	C
CSUK	39700	C
CSUS	85457	C
CSUK|CSUS	8325|22837	B
CSUS	73391	C
CSUS	82055	C
CSIN	50156	C
CSUS	26138	C
CSUS	32891	C
CSUS	52187	C
CSUS	32537	C
CSCA	114370	C
CSUS	84689	C
CSUS	33801	C
CSUS	24423	C
CSUS	139136	C
CSUS	76817	C
CSUS	26011	C
CSUS	10795	C
CSCA	112583	C
CSUS	140714	B
CSUS	24036	C
CSUS	25285	C
CSIN	44393	C
CSUS	19762	C
CSUS	84602	C
CSUK	41342	C
CSUS	139757	C
CSUS	20795	C
CSIN	50075	C
CSUS	4425	A
CSUS	25725	A
CSCA	113908	C
CSUK	15621	C
CSUS	63221	C
CSCA	112278	C
CSUS	25951	C
CSUS	25997	C
CSUK	49379	C
CSUS	77561	C
CSFR|CSDE|CSUS	14753|13276|22938	A
CSUS	120977	C
CSUS	25909	C
CSUS	37213	C
CSUS	133220	C
CSAU	31967	C
CSUS	119615	B
CSUS	140525	C
CSIN	41150	C
CSUS	66518	C
CSAU	21884	C
CSUS	13393	C
CSUS	25315	C
CSUS	139382	C
CSUS	17574	A
CSUS	33910	C
CSUS	129152	C
CSUS	32678	C
CSUS	69926	C
CSUS	8715	A
CSUS	75722	C
CSUS	130673	C
CSUS	116771	C
CSUS	147329	A
CSUS	17565	B
CSAU	19622	C
CSUS	36174	C
CSUS	87131	C
CSUS	38467	C
CSUS	126212	C
CSUS	17390	C
CSUS	87215	C
CSUS	25634	C
CSCA	112022	C
CSUS	10235	C
CSUS	69176	A
CSUS	125405	B
CSAU	32339	C
CSUS	121175	C
CSAU	9161	C
CSUS	138509	C
CSUS	629	C
CSAU	30305	C
CSUS	38187	C
CSUS	35114	B
CSUS	126005	C
CSUS	33028	C
CSUS	137387	C
CSUS	82991	C
CSUK	7916	A
CSUS	39522	C
