Targetsportsusa,CSUS,125729,2321,,YES,https://www.targetsportsusa.com/,2,0,1000,SESSION_60D≥500,C
Key West Express,CSUS,32753,2243,,YES,https://www.keywestexpress.net/,3,0,1300,SESSION_60D≥500,C
Mimco,CSAU,7336,2240,,YES,http://www.mimco.com.au/,2,0,1900,SESSION_60D≥500,C
Google Play,CSUS|CSDE,22843|12983,2226,,YES|NO,https://play.google.com/store,7,0,3600,SESSION_60D≥500,C
Sherwin-Williams,CSUS,10876,2115,,YES,http://www.sherwin-williams.com/,3,0,49500,SESSION_60D≥500,C
It Cosmetics,CSUS,25846,2115,289.5777968,YES,https://www.itcosmetics.com/,4,2,1300,REVENUE_60D≥100,A
Fully.com,CSUS,27841,2105,,YES,https://www.fully.com/,3,0,90,SESSION_60D≥500,C
Naples Zoo,CSUS,25401,2083,,YES,http://napleszoo.org/,3,0,1600,SESSION_60D≥500,C
Papa Murphy's,CSUS,11133,2061,0,YES,http://www.papamurphys.com/,3,0,110000,SESSION_60D≥500,C
Safelite AutoGlass,CSUS,25392,2060,,YES,https://www.safelite.com/,3,0,2400,SESSION_60D≥500,C
ExtremeTerrain,CSUS,19782,2032,,YES,http://www.extremeterrain.com/,4,2,1900,SESSION_60D≥300&AFF=Yes,A
US Sports Camps,CSUS,124013,2025,,YES,http://www.ussportscamps.com/,3,0,320,SESSION_60D≥500,C
Hot Head Burritos,CSUS,26281,2001,,YES,http://hotheadburritos.com/,3,0,880,SESSION_60D≥500,C
Six Flags Fiesta Texas,CSUS,34282,1976,,YES,https://www.sixflags.com/fiestatexas,3,0,1300,SESSION_60D≥500,C
Zoos Victoria,CSAU,9577,1974,,YES,http://www.zoo.org.au/,2,0,10,SESSION_60D≥500,C
The Body Coach,CSUK,22442,1966,0.210000001,YES,https://www.thebodycoach.com/,3,0,880,SESSION_60D≥500,C
Adventureland Resort,CSUS,25283,1962,,YES,https://www.adventurelandresort.com/,3,0,40,SESSION_60D≥500,C
Luray Caverns,CSUS,24781,1959,,YES,http://luraycaverns.com/,3,0,1000,SESSION_60D≥500,C
Jacksonville Zoo,CSUS,25899,1933,,YES,http://www.jacksonvillezoo.org/,3,0,1300,SESSION_60D≥500,C
Catalina Island,CSUS,17877,1923,,YES,http://www.catalinachamber.com/,3,0,260,SESSION_60D≥500,C
Anime-Expo,CSUS,39675,1919,,YES,http://www.anime-expo.org,3,0,260,SESSION_60D≥500,C
Baked by Melissa,CSUS,30760,1892,1.179999948,YES,http://www.bakedbymelissa.com/,3,0,1600,SESSION_60D≥500,C
Royal Gorge Route Railroad,CSUS,146429,1845,,YES,http://royalgorgeroute.com/,3,0,50,SESSION_60D≥500,C
Eat24,CSUS,18236,1828,,YES,https://www.eat24.com/,3,0,60500,SESSION_60D≥500,C
JetBrains,CSUS,26498,1827,,YES,http://www.jetbrains.com/,3,0,210,SESSION_60D≥500,C
Sam's Club Photo,CSUS,30552,1825,222.2460001,YES,http://photo.samsclub.com/home.aspx,4,2,880,REVENUE_60D≥100,A
Bali Body,CSAU,15785,1821,,YES,https://au.balibodyco.com/,2,0,320,SESSION_60D≥500,C
Denver Museum of Nature & Science,CSUS,37985,1818,,YES,http://www.dmns.org/,3,0,10,SESSION_60D≥500,C
Oliveboard,CSIN,50549,1817,,YES,https://www.oliveboard.in,2,0,880,SESSION_60D≥500,C
Fuelrewards,CSUS,76880,1814,,YES,http://www.fuelrewards.com,2,0,170,SESSION_60D≥500,C
Costco Photo Center,CSUS,29000,1786,,YES,http://www.costcophotocenter.com/Home,3,0,2900,SESSION_60D≥500,C
Advance Auto Parts,CSUS,7638,1763,391.0399936,YES,http://shop.advanceautoparts.com,4,4,60500,REVENUE_60D≥100,A
Yorkshire Wildlife Park,CSUK,13183,1759,,YES,http://www.yorkshirewildlifepark.com/,2,0,1300,SESSION_60D≥500,C
Promotional Products by Vistaprint,CSUK,44783,1758,166.1200002,YES,https://promo.vistaprint.co.uk/,4,2,50,REVENUE_60D≥100,A
Massimo Dutti,CSUS,32209,1748,,YES,https://www.massimodutti.com/us/,3,0,390,SESSION_60D≥500,C
Philadelphia Zoo,CSUS,17511,1747,,YES,http://www.philadelphiazoo.org/,3,0,1900,SESSION_60D≥500,C
Bellami Hair,CSUS,33671,1736,,YES,http://www.bellamihair.com,3,0,720,SESSION_60D≥500,C
Daily Harvest,CSUS,88175,1735,,YES,http://www.daily-harvest.com,3,0,2400,SESSION_60D≥500,C
Sketchapp,CSUS,125363,1731,,YES,http://sketchapp.com,3,0,320,SESSION_60D≥500,C
Cafe Rio,CSUS,24100,1729,,YES,http://www.caferio.com/,3,0,6600,SESSION_60D≥500,C
Nespresso Canada,CSCA,113868,1715,2.60710001,YES,https://www.nespresso.com/ca/en/home,2,1,880,SESSION_60D≥300&AFF=Yes,A
Paddywagon Tours,CSUK,42734,1709,,YES,http://www.paddywagontours.com/,3,0,30,SESSION_60D≥500,C
Google Express,CSUS,35444,1705,5.136899948,YES,https://express.google.com/,3,0,12100,SESSION_60D≥500,C
Detroit Axle,CSUS,144659,1698,,YES,https://detroitaxle.com/,3,0,590,SESSION_60D≥500,C
Wish.Com,CSAU,21872,1683,,YES,https://www.wish.com/,3,2,260,SESSION_60D≥300&AFF=Yes,A
Azazie,CSUS,39377,1680,,YES,http://www.azazie.com,3,0,5400,SESSION_60D≥500,C
Lime Crime,CSUS,22261,1668,13.79239982,YES,http://www.limecrime.com/,5,4,2400,SESSION_60D≥300&AFF=Yes,A
Desert Botanical Garden,CSUS,25835,1655,,YES,http://www.dbg.org/,3,0,880,SESSION_60D≥500,C
YETI,CSUS,17367,1649,,YES,http://yeti.com/,3,0,12100,SESSION_60D≥500,C
Water Taxi,CSUS,33922,1649,,YES,http://watertaxi.com/,3,0,170,SESSION_60D≥500,C
Eat Clean Bro,CSUS,143405,1632,,YES,https://eatcleanbro.com/,3,0,390,SESSION_60D≥500,C
Featherdale Wildlife Park,CSAU,9283,1631,,YES,http://www.featherdale.com.au/,2,0,90,SESSION_60D≥500,C
Perfectly Posh,CSUS,70073,1626,,YES,http://www.perfectlyposh.com,3,0,590,SESSION_60D≥500,C
minbie,CSAU,31583,1617,,YES,https://minbie.com.au/,2,0,50,SESSION_60D≥500,C
Buddy's Pizza,CSUS,24239,1601,,YES,http://www.buddyspizza.com/,3,0,4400,SESSION_60D≥500,C
Wild Adventures,CSUS,24977,1596,,YES,http://www.wildadventures.com/,3,0,390,SESSION_60D≥500,C
Skinnydip London,CSUK,20670,1568,,YES,http://www.skinnydiplondon.com/,2,0,90,SESSION_60D≥500,C
Denver Zoo,CSUS,25822,1558,,YES,http://www.denverzoo.org/,3,0,1900,SESSION_60D≥500,C
TELUS Spark,CSCA,112308,1557,,YES,http://www.sparkscience.ca/,2,0,320,SESSION_60D≥500,C
Costco Photo Centre,CSCA,113882,1551,,YES,http://www.costcophotocentre.ca/Home,2,0,10,SESSION_60D≥500,C
perth zoo,CSAU,16367,1533,,YES,http://perthzoo.wa.gov.au/,2,0,110,SESSION_60D≥500,C
Chic Couture Online,CSUS,77480,1521,,YES,http://www.chiccoutureonline.com,3,0,320,SESSION_60D≥500,C
Lone Pine Koala Sanctuary,CSAU,14855,1519,,YES,http://www.koala.net/,2,0,110,SESSION_60D≥500,C
GetYourGuide,CSUS,24021,1500,,YES,http://www.getyourguide.com,3,0,170,SESSION_60D≥500,C
Kentucky Kingdom,CSUS,87215,1498,,YES,http://www.kentuckykingdom.com,3,0,260,SESSION_60D≥500,C
Roolee,CSUS,124403,1497,,YES,http://www.roolee.com/,3,0,1900,SESSION_60D≥500,C
Wendy's,CSUS,10547,1488,,YES,http://www.wendys.com/,4,0,33100,SESSION_60D≥500,C
Pandora,CSUS,23641,1488,,YES,https://us.pandora.net/,3,0,9900,SESSION_60D≥500,C
Sonny's,CSUS,25581,1487,,YES,http://www.sonnysbbq.com,3,0,1300,SESSION_60D≥500,C
Spoonflower,CSUS,25811,1482,,YES,http://www.spoonflower.com/,3,0,2400,SESSION_60D≥500,C
Dose of Colors,CSUS,67292,1473,,YES,http://doseofcolors.com,3,0,880,SESSION_60D≥500,C
Overtone,CSUS,72341,1473,,YES,http://overtone.co/collections/shop-all,3,0,1300,SESSION_60D≥500,C
ZavaZone,CSUS,146081,1469,,YES,http://www.zavazone.com/,3,0,880,SESSION_60D≥500,C
ThirdLove,CSUS,37145,1451,,YES,https://thirdlove.com/,4,2,5400,SESSION_60D≥300&AFF=Yes,A
Aersf,CSUS,130769,1417,,YES,http://www.aersf.com,3,0,170,SESSION_60D≥500,C
Scuf Gaming,CSUS,22849,1416,,YES,http://scufgaming.com/,4,0,480,SESSION_60D≥500,C
Onitsuka Tiger,CSUK,27680,1411,178.5332999,YES,http://www.onitsukatiger.com/gb/en-gb/,4,2,30,REVENUE_60D≥100,A
Element Vape,CSUS,127838,1410,0.109999999,YES,https://www.elementvape.com/,3,0,,SESSION_60D≥500,C
Le Specs,CSUS,136592,1395,,YES,https://lespecs.com/,4,0,320,SESSION_60D≥500,C
Luxy Hair,CSUS,24786,1388,,YES,http://www.luxyhair.com/,4,0,1000,SESSION_60D≥500,C
The Gym Group,CSUK,13240,1378,,YES,https://www.thegymgroup.com/,3,0,2400,SESSION_60D≥500,C
Mecca Cosmetica,CSAU,7514,1338,0,YES,http://mecca.com.au/,2,0,50,SESSION_60D≥500,C
Primitive Skateboarding,CSUS,67487,1335,,YES,http://primitiveskate.com/,3,0,,SESSION_60D≥500,C
Willows Farm,CSUK,17358,1326,,YES,http://www.willowsactivityfarm.com,2,0,390,SESSION_60D≥500,C
Jeffree Star,CSUK,41327,1310,,YES,https://jeffreestarcosmetics.com/,4,0,170,SESSION_60D≥500,C
Swing Design,CSUS,130364,1299,1827.920009,YES,http://www.swingdesign.com/,4,4,1000,REVENUE_60D≥100,A
GrubHub,CSUS,29718,1288,,YES,https://www.grubhub.com,4,4,74000,SESSION_60D≥300&AFF=Yes,A
Dolly Parton's Stampede,CSUS,18059,1278,,YES,https://dpstampede.com/,3,0,20,SESSION_60D≥500,C
Mountain Rose Herbs,CSUS,31683,1263,,YES,http://www.mountainroseherbs.com/,3,0,2900,SESSION_60D≥500,C
Blue Air,CSUK,49358,1263,,YES,https://www.blueairweb.com/,3,0,90,SESSION_60D≥500,C
Bryan Anthonys,CSUS,133166,1258,,YES,http://www.bryananthonys.com/,3,0,720,SESSION_60D≥500,C
EightVape,CSUS,134072,1249,18.87000005,YES,https://www.eightvape.com/,4,4,1000,SESSION_60D≥300&AFF=Yes,A
Pizza Hut,CSUS,7102,1243,0.941399992,YES,https://www.pizzahut.com,4,1,550000,SESSION_60D≥300&AFF=Yes,A
O-Mighty,CSUS,39696,1242,,YES,http://o-mighty.com,3,0,320,SESSION_60D≥500,C
