1,3457,Lenovo,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:03
8,3458,eBags,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:08
10,3459,Newegg,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:14
15,3460,4 Wheel Parts,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:35
16,3461,Dell,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:40
21,3462,1-800 Contacts,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:51
24,3463,Best Buy,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:17:56
32,3464,Torrid,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:07
38,3465,Tire Rack,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:13
40,3466,AbeBooks,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:18
48,3467,HP,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:18
49,3468,Zazzle,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:18
52,3469,Hot Topic,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:23
73,3470,LifeLock,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:29
76,3471,StubHub,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:29
77,3472,Nuance,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:29
83,3473,Macy's,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:29
92,3474,KitchenAid,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:51
93,3475,Apple Online Store,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:56
100,3476,Sittercity,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:56
101,3477,TracFone,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:56
104,3478,Luggage Pros,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:18:57
112,3479,Backcountry,CSUS,Active,NULL,NULL,NULL,2018-05-29 03:19:02
