CSUS,18324
CSUS,90431
CSUS,100238
CSAU,30311
CSAU,29963
CSAU,7066
CSUS,28529
CSUS,7094
CSUS,147818
CSUS,36987
CSUS,36940
CSAU,32597
CSUS,32670
CSUS,51671
CSUS,10496
CSUS,112067
CSUS,8568
CSUK,43310
CSUS,29524
CSUS,141401
CSUS,79493
CSUS,70193
CSUS,146696
CSUS,35435
CSUS,24807
CSUS,24244
CSUS,25844
CSUS,36640
CSUS,35519
CSUS,123914
CSUS,137741
CSUS,17417
CSUS,124160
CSUS,56567
CSAU,14032
CSUK,1234
CSUS,27049
CSUS,79442
CSUS,33617
CSUS,79964
CSUS,25748
CSUS,26598
CSUK,44858
CSUS,35974
CSUS,26974
CSUS,132659
CSUK,15634
CSUS,129614
CSUS,125729
CSUS,32753
CSAU,7336
CSUS,22843
CSUS,10876
CSUS,25846
CSUS,27841
CSUS,25401
CSUS,11133
CSUS,25392
CSUS,19782
CSUS,124013
CSUS,26281
CSUS,34282
CSAU,9577
CSUK,22442
CSUS,25283
CSUS,24781
CSUS,25899
CSUS,17877
CSUS,39675
CSUS,30760
CSUS,146429
CSUS,18236
CSUS,26498
CSUS,30552
CSAU,15785
CSUS,37985
CSIN,50549
CSUS,76880
CSUS,29000
CSUS,7638
CSUK,13183
CSUK,44783
CSUS,32209
CSUS,17511
CSUS,33671
CSUS,88175
CSUS,125363
CSUS,24100
CSCA,113868
CSUK,42734
CSUS,35444
CSUS,144659
CSAU,21872
CSUS,39377
CSUS,22261
CSUS,25835
CSUS,17367
CSUS,33922
CSUS,143405
CSAU,9283
CSUS,70073
CSAU,31583
CSUS,24239
CSUS,24977
CSUK,20670
CSUS,25822
CSCA,112308
CSCA,113882
CSAU,16367
CSUS,77480
CSAU,14855
CSUS,24021
CSUS,87215
CSUS,124403
CSUS,10547
CSUS,23641
CSUS,25581
CSUS,25811
CSUS,67292
CSUS,72341
CSUS,146081
CSUS,37145
CSUS,130769
CSUS,22849
CSUK,27680
CSUS,127838
CSUS,136592
CSUS,24786
CSUK,13240
CSAU,7514
CSUS,67487
CSUK,17358
CSUK,41327
CSUS,130364
CSUS,29718
CSUS,18059
CSUS,31683
CSUK,49358
CSUS,133166
CSUS,134072
CSUS,7102
CSUS,39696
CSAU,32561
CSUS,33627
CSUK,19689
CSUS,25710
CSAU,11999
CSUS,24393
CSUS,87512
CSUS,25718
CSUS,126626
CSUS,138185
CSUK,17550
CSAU,27722
CSUS,21490
CSAU,9505
CSUS,33207
CSUS,25767
CSUK,16658
CSUS,138884
CSCA,111643
CSUS,65870
CSUS,33239
CSAU,30278
CSAU,23471
CSUS,315
CSUS,146690
CSUS,24312
CSUS,40118
CSUK,27638
CSUS,121220
CSUK,17845
CSUS,32193
CSAU,14866
CSAU,31640
CSUS,32332
CSIN,50246
CSUS,26615
CSIN,35342
CSUS,33618
CSUS,135827
CSUS,90329
CSUK,28412
CSAU,30293
CSUS,80600
CSUS,101
CSUS,19107
CSUS,36901
CSAU,7170
CSCA,112198
CSUS,22463
CSUK,43031
CSUS,26138
CSUS,59183
CSUS,145205
CSUK,4012
CSUS,36984
CSUS,26237
CSAU,31676
CSUS,145988
CSUS,32508
CSUK,26675
CSUS,12856
CSUS,29078
CSIN,41150
CSUS,36594
CSUS,89399
CSUS,84131
CSUK,45110
CSUK,12619
CSUS,26268
CSUS,49409
CSUS,25666
CSUS,33274
CSUS,126134
CSUS,135644
CSUS,36087
CSCA,110274
CSUS,133151
CSUK,42377
CSUS,69881
CSCA,114713
CSUS,141032
CSUS,14141
CSUS,83000
CSAU,13634
CSUS,24500
CSUS,10235
CSUS,130823
CSUS,84632
CSCA,113839
CSCA,113979
CSAU,21884
CSUS,71117
CSUS,33621
CSUS,39522
CSUS,32278
CSCA,112155
CSUS,48734
CSUS,116780
CSUS,140390
CSUS,25624
CSAU,9491
CSUS,125540
CSUS,1193
CSUK,41342
CSUS,116618
CSUS,10795
CSUS,83027
CSUS,86000
CSUS,141164
CSUS,31516
CSIN,50261
CSUS,24494
CSUS,32997
CSUS,61691
CSUS,139172
CSUS,106652
CSUS,11769
CSUS,13188
CSUS,30603
CSUK,31595
CSUS,137534
CSAU,9210
CSCA,110190
CSUS,25457
CSUS,130196
CSUS,35252
CSUK,18883
CSUS,73049
CSUK,42050
CSUS,25263
CSUS,25493
CSUK,14070
CSUK,25301
CSUS,17074
CSUS,33910
CSUS,25285
CSAU,30974
CSUS,124595
CSUS,137513
CSUK,17905
CSUS,5112
CSUS,115100
CSUS,20672
CSUS,12203
CSUS,24200
CSUS,40433
CSUS,32537
CSUS,17518
CSAU,14790
CSUS,10015
CSUS,66518
CSUS,146600
CSUS,84014
CSUS,26054
CSUS,26011
CSUS,139757
CSCA,111834
CSCA,114370
CSUS,33801
CSUS,48056
CSUS,132911
CSUS,36486
CSUS,130139
CSUS,117446
CSUS,86621
CSUS,119885
CSUS,26303
CSUS,34230
CSUS,25771
CSUK,25499
CSUS,36414
CSUS,19060
CSUS,26012
CSUS,37674
CSUS,97613
CSUS,24472
CSUS,32891
CSUS,127670
CSUS,4563
CSUS,73346
CSUK,8325
CSUS,63221
CSUS,76829
CSUS,25776
CSUS,12135
CSUS,38467
CSUS,88859
CSUS,29561
CSUS,121238
CSUS,17390
CSUS,144518
CSUS,32653
CSUS,24036
CSUS,116861
CSUS,26003
CSUS,26025
CSCA,113590
CSUS,25337
CSUS,76
CSUK,42206
CSUS,32284
CSUS,57182
CSUS,84689
CSUS,129968
CSUS,4425
CSUS,26873
CSUS,27181
CSCA,112583
CSUS,124523
CSUS,17839
CSUS,3124
CSUS,23826
CSAU,14840
CSCA,113894
CSUS,128672
CSCA,113405
CSUS,38187
CSUS,25897
CSUS,114239
CSCA,112809
CSUS,133244
CSUS,20795
CSUS,25997
CSUS,87131
CSUK,45278
CSUS,25762
CSUS,139235
CSUS,17846
CSUS,17346
CSUS,22938
CSUS,73391
CSUS,34476
CSUS,16666
CSUS,8715
CSUS,37213
CSCA,112278
CSUS,25639
CSUK,20264
CSUK,11888
CSUS,26944
CSUK,16720
CSUS,19762
CSAU,17141
CSUS,119615
CSCA,118139
CSUS,1829
CSUS,33730
CSUS,25951
CSUS,56546
CSUS,75722
CSUK,16769
CSUS,147140
CSIN,50075
CSUS,25315
CSCA,110655
CSUS,33196
CSUS,82055
CSUS,10512
CSUS,33998
CSUS,76817
CSUS,12233
CSUS,12356
CSUS,629
CSUS,139382
CSUS,69926
CSUK,4071
CSUS,17565
CSUS,24407
CSAU,30890
CSUS,52301
CSUS,25907
CSUS,35114
CSIN,50156
CSUS,83690
CSUS,32678
CSUS,24423
CSUS,39663
CSUS,26435
CSUS,147329
CSUK,39700
CSUS,129554
CSUK,42908
CSAU,7324
CSAU,10140
CSUS,140525
CSUS,52187
CSUK,18308
CSAU,19622
CSUS,85457
CSUK,28319
CSUS,84332
CSUK,17711
CSUS,25620
CSUS,37864
CSCA,112866
CSAU,20735
CSUS,30807
CSUS,27882
CSUS,16905
CSAU,29003
CSAU,13201
CSUS,17574
CSUS,84602
CSUS,136220
CSUS,32847
CSUS,34544
CSAU,9231
CSUS,130673
CSAU,9161
CSAU,14900
CSUS,13393
CSUS,139136
CSAU,25415
CSUS,637
CSUK,7270
CSUS,120977
CSUS,76820
CSUK,25931
CSAU,30716
CSCA,113908
CSUS,5903
CSAU,30305
CSUS,38498
CSUS,37592
CSAU,31967
CSUS,118928
CSUS,25952
CSUS,33720
CSUS,10956
CSUS,138128
CSUS,26378
CSUS,25909
CSUS,13043
CSUS,36649
CSUS,25657
CSUS,147194
CSUS,137867
CSUS,33028
CSUS,25274
CSUS,26548
CSUS,51350
CSUS,32563
CSUS,36115
CSUS,30321
CSUS,148928
CSUS,2735
CSUS,17571
CSUS,36088
CSUS,127109
CSUS,77561
CSUS,81473
CSUS,133220
CSUK,24782
CSIN,48296
CSUS,25725
CSUS,35925
CSUK,20804
CSUS,143774
CSAU,9123
CSUS,26484
CSUS,9769
CSUS,26920
CSUS,80831
CSAU,8986
CSUS,75461
CSUK,13823
CSUS,73313
CSUS,26223
CSUS,138104
CSUS,82991
CSAU,32339
CSUS,17387
CSUS,32375
CSUS,3110
CSUK,9301
CSUK,1377
CSUK,20124
CSUS,69578
CSUS,27159
CSUK,49346
CSUS,125405
CSUS,73712
CSUS,138098
CSUS,73154
CSUS,140957
CSIN,44393
CSUS,138509
CSUS,89429
CSAU,8702
CSUS,64898
CSUS,74486
CSUS,137477
CSAU,16340
CSUS,84788
CSUS,34039
CSUS,80648
CSAU,18746
CSUS,10586
CSUS,23983
