22,CSUK,11335
7,CSUK,11334
24,CSUK,11336
36,CSUK,11337
71,CSUK,11338
196,CSUK,11339
228,CSUK,11340
235,CSUK,11341
271,CSUK,11342
306,CSUK,11343
320,CSUK,11344
321,CSUK,11345
338,CSUK,11346
379,CSUK,11347
469,CSUK,11348
471,CSUK,11349
521,CSUK,11350
684,CSUK,11351
703,CSUK,11352
743,CSUK,11353
892,CSUK,11354
971,CSUK,11355
1077,CSUK,11356
1189,CSUK,11357
1201,CSUK,11358
1224,CSUK,11359
1246,CSUK,11360
1379,CSUK,11361
1455,CSUK,11362
1466,CSUK,11363
1487,CSUK,11364
1530,CSUK,11365
1541,CSUK,11366
1842,CSUK,11367
1905,CSUK,11368
2201,CSUK,11369
2210,CSUK,11370
2214,CSUK,11371
2268,CSUK,11372
2324,CSUK,11373
2538,CSUK,11374
2567,CSUK,11375
2576,CSUK,11376
2759,CSUK,11377
2768,CSUK,11378
2771,CSUK,11379
2798,CSUK,11380
2961,CSUK,11381
2981,CSUK,11382
3003,CSUK,11383
3202,CSUK,11384
3318,CSUK,11385
3342,CSUK,11386
3406,CSUK,11387
3667,CSUK,11388
3716,CSUK,11389
3763,CSUK,11390
3788,CSUK,11391
3797,CSUK,11392
3839,CSUK,11393
3929,CSUK,11394
3981,CSUK,11395
4014,CSUK,11396
4018,CSUK,11397
4028,CSUK,11398
4063,CSUK,11399
4066,CSUK,11400
4069,CSUK,11401
4170,CSUK,11402
4283,CSUK,11403
4371,CSUK,11404
4589,CSUK,11405
4595,CSUK,11406
4676,CSUK,11407
4687,CSUK,11408
4719,CSUK,11409
4763,CSUK,11410
4783,CSUK,11411
4795,CSUK,11412
4805,CSUK,11413
4814,CSUK,11414
4876,CSUK,11415
4899,CSUK,11416
4905,CSUK,11417
4984,CSUK,11418
5080,CSUK,11419
5152,CSUK,11420
5235,CSUK,11421
5791,CSUK,11422
5840,CSUK,11423
5861,CSUK,11424
6027,CSUK,11425
6134,CSUK,11426
6363,CSUK,11427
6514,CSUK,11428
6589,CSUK,11429
6814,CSUK,11430
7074,CSUK,11431
7244,CSUK,11432
7348,CSUK,11433
7407,CSUK,11434
7409,CSUK,11435
7410,CSUK,11436
7431,CSUK,11437
7545,CSUK,11438
7673,CSUK,11439
7700,CSUK,11440
7790,CSUK,11441
7835,CSUK,11442
7859,CSUK,11443
8605,CSUK,11444
8623,CSUK,11445
8819,CSUK,11446
8925,CSUK,11447
9025,CSUK,11448
9088,CSUK,11449
9110,CSUK,11450
9145,CSUK,11451
9209,CSUK,11452
9301,CSUK,11453
9676,CSUK,11454
11449,CSUK,11455
11767,CSUK,11456
11785,CSUK,11457
13277,CSUK,11458
13299,CSUK,11459
13740,CSUK,11460
13823,CSUK,11461
14998,CSUK,11462
15841,CSUK,11463
15998,CSUK,11464
16086,CSUK,11465
16095,CSUK,11466
16116,CSUK,11467
16309,CSUK,11468
16751,CSUK,11469
17341,CSUK,11470
17343,CSUK,11471
17516,CSUK,11472
17711,CSUK,11473
18102,CSUK,11474
18915,CSUK,11475
20264,CSUK,11476
24554,CSUK,11477
25808,CSUK,11478
30242,CSUK,11479
31541,CSUK,11480
40259,CSUK,11481
45278,CSUK,11482
49763,CSUK,11483
73,CSUS,11484
320,CSUS,11485
343,CSUS,11486
351,CSUS,11487
429,CSUS,11488
505,CSUS,11489
512,CSUS,11490
609,CSUS,11491
690,CSUS,11492
959,CSUS,11493
1171,CSUS,11494
1288,CSUS,11495
1647,CSUS,11496
1656,CSUS,11497
1718,CSUS,11498
1910,CSUS,11499
1977,CSUS,11500
2027,CSUS,11501
2191,CSUS,11502
2397,CSUS,11503
2492,CSUS,11504
2670,CSUS,11505
3130,CSUS,11506
3871,CSUS,11507
4463,CSUS,11508
5154,CSUS,11509
5542,CSUS,11510
5859,CSUS,11511
6105,CSUS,11512
6163,CSUS,11513
7310,CSUS,11514
7334,CSUS,11515
7412,CSUS,11516
7445,CSUS,11517
7796,CSUS,11518
7824,CSUS,11519
8188,CSUS,11520
9289,CSUS,11521
9331,CSUS,11522
9354,CSUS,11523
9741,CSUS,11524
10238,CSUS,11525
10405,CSUS,11526
10885,CSUS,11527
11808,CSUS,11528
11826,CSUS,11529
12001,CSUS,11530
12165,CSUS,11531
12755,CSUS,11532
12974,CSUS,11533
13117,CSUS,11534
13122,CSUS,11535
13579,CSUS,11536
13623,CSUS,11537
14016,CSUS,11538
14163,CSUS,11539
14273,CSUS,11540
14348,CSUS,11541
14696,CSUS,11542
15114,CSUS,11543
17209,CSUS,11544
17314,CSUS,11545
