73,US,2,3470
320,US,3,3505
343,US,3,3508
351,US,3,3509
429,US,3,3523
505,US,3,3532
512,US,3,3536
609,US,3,3543
690,US,3,3557
959,US,3,3570
1171,US,3,3598
1288,US,2,3615
1647,US,3,3634
1656,US,3,3636
1718,US,3,3641
1910,US,3,3657
1977,US,3,3661
2027,US,3,3665
2191,US,3,3672
2397,US,3,3681
2492,US,3,3683
2670,US,3,3690
3130,US,3,3704
3871,US,3,3725
4463,US,3,3750
5154,US,3,3762
5542,US,3,3773
5859,US,3,3783
6105,US,3,3800
6163,US,3,3802
7310,US,3,3843
7334,US,3,3844
7412,US,3,3848
7445,US,3,3851
7796,US,3,3868
7824,US,3,3870
8188,US,3,3904
9289,US,3,3954
9331,US,3,3958
9354,US,3,3959
9741,US,3,3977
10238,US,3,4017
10405,US,3,4033
10885,US,3,4086
11808,US,3,4147
11826,US,3,4149
12001,US,3,4159
12165,US,3,4169
12755,US,3,4201
12974,US,3,4217
13117,US,2,4222
13122,US,3,4223
13579,US,3,4244
13623,US,3,4248
14016,US,3,4257
14163,US,3,4261
14273,US,3,4264
14348,US,2,4268
14696,US,3,4274
15114,US,3,4281
17209,US,3,4357
17314,US,3,4365
17387,US,3,4375
17572,US,3,4395
17573,US,3,4396
17602,US,3,4399
17629,US,3,4401
17903,US,3,4421
17970,US,3,4425
18272,US,3,4445
18371,US,2,4450
18521,US,3,4456
18599,US,3,4463
19094,US,3,4480
19224,US,3,4482
19562,US,3,4486
19711,US,2,4490
19728,US,3,4492
21009,US,3,4526
21074,US,3,4528
21189,US,3,4529
22970,US,2,4552
23839,US,3,4573
23919,US,3,4577
23925,US,2,4578
25158,US,2,4624
25308,US,3,4632
25624,US,3,4652
25732,US,3,4661
25952,US,3,4681
26036,US,3,4690
26223,US,3,4697
28787,US,3,4770
30317,US,3,4800
31325,US,3,4822
31517,US,3,4827
31566,US,3,4828
31628,US,3,4830
32081,US,3,4847
32200,US,3,4850
32563,US,3,4868
33720,US,3,4907
33806,US,3,4910
35226,US,2,4950
35463,US,3,4962
35739,US,3,4975
36088,US,3,4989
36129,US,3,4995
36282,US,3,5004
36285,US,3,5005
36900,US,3,5037
37279,US,3,5059
37939,US,3,5090
38174,US,3,5101
39196,US,3,5115
39459,US,2,5128
39663,US,3,5134
39843,US,2,5140
40154,US,3,5149
42437,US,2,5170
50282,US,3,5177
51713,US,3,5181
55061,US,3,5192
55490,US,3,5194
55505,US,3,5196
55811,US,3,5202
56672,US,3,5209
59354,US,3,5223
59480,US,3,5224
59501,US,3,5225
62639,US,3,5234
66071,US,3,5245
66953,US,3,5251
69680,US,3,5267
73712,US,3,5290
75461,US,3,5295
75989,US,3,5299
89429,US,3,5375
90059,US,2,5382
90365,US,3,5387
90833,US,3,5392
91058,US,3,5393
98087,US,3,5395
103931,US,3,5399
109364,US,3,5405
110600,US,3,5408
111650,US,3,5411
114239,US,3,5424
120896,US,3,5461
123509,US,2,5466
125420,US,3,5485
127109,US,3,5500
127262,US,3,5501
129383,US,2,5511
133262,US,3,5544
137477,US,3,5561
137717,US,3,5564
139799,US,3,5584
140144,US,3,5585
143381,US,3,5601
143954,US,3,5605
148190,US,3,5655
148316,US,3,5658
148322,US,3,5659
148325,US,3,5660
148328,US,2,5661
148331,US,3,5662
148334,US,3,5663
148337,US,3,5664
148349,US,3,5665
148352,US,3,5666
148361,US,3,5667
148364,US,3,5668
148367,US,3,5669
148370,US,3,5670
148376,US,3,5671
148379,US,3,5672
148382,US,3,5673
148385,US,3,5674
148388,US,3,5675
148412,US,3,5677
148736,US,3,5678
148928,US,3,5680
148946,US,3,5681
149714,US,3,5686
149723,US,3,5689
149726,US,3,5690
149747,US,3,5691
150047,US,3,5694
151493,US,3,5695
151496,US,3,5696
151583,US,2,5697
152057,US,3,5699
7,UK,3,5701
22,UK,3,5705
24,UK,2,5706
36,UK,2,5711
71,UK,2,5717
196,UK,3,5734
228,UK,3,5739
235,UK,2,5741
271,UK,3,5748
306,UK,2,5755
320,UK,3,5759
321,UK,3,5760
338,UK,3,5764
379,UK,3,5768
469,UK,3,5782
471,UK,2,5783
521,UK,2,5789
684,UK,3,5814
703,UK,2,5817
743,UK,3,5821
892,UK,3,5831
971,UK,3,5837
1077,UK,2,5842
1189,UK,3,5847
1201,UK,3,5848
1224,UK,3,5852
1246,UK,3,5857
1379,UK,3,5866
1455,UK,3,5871
1466,UK,3,5873
1487,UK,3,5876
1530,UK,3,5878
1541,UK,3,5880
1842,UK,3,5894
1905,UK,3,5901
2201,UK,3,5920
2210,UK,3,5922
2214,UK,3,5923
2268,UK,3,5933
2324,UK,2,5938
2538,UK,3,5955
2567,UK,2,5956
2576,UK,3,5958
2759,UK,2,5967
2768,UK,3,5968
2771,UK,3,5969
2798,UK,2,5972
2961,UK,2,5981
2981,UK,3,5982
3003,UK,3,5984
3202,UK,3,5992
3318,UK,3,5998
3342,UK,3,6001
3406,UK,3,6004
3667,UK,3,6012
3716,UK,2,6013
3763,UK,3,6016
3788,UK,3,6018
3797,UK,3,6019
3839,UK,3,6021
3929,UK,3,6024
3981,UK,3,6029
4014,UK,3,6036
4018,UK,3,6037
4028,UK,3,6038
4063,UK,3,6039
4066,UK,3,6040
4069,UK,3,6041
4170,UK,3,6047
4283,UK,2,6052
4371,UK,2,6057
4589,UK,2,6064
4595,UK,3,6065
4676,UK,3,6070
4687,UK,2,6072
4719,UK,3,6075
4763,UK,3,6079
4783,UK,3,6081
4795,UK,2,6083
4805,UK,3,6084
4814,UK,3,6085
4876,UK,3,6088
4899,UK,3,6089
4905,UK,3,6090
4984,UK,2,6093
5080,UK,3,6098
5152,UK,2,6099
5235,UK,3,6102
5791,UK,3,6115
5840,UK,3,6117
5861,UK,3,6118
6027,UK,3,6128
6134,UK,3,6130
6363,UK,3,6138
6514,UK,3,6142
6589,UK,3,6145
6814,UK,3,6151
7074,UK,3,6162
7244,UK,2,6175
7348,UK,3,6181
7407,UK,3,6185
7409,UK,3,6186
7410,UK,3,6187
7431,UK,2,6188
7545,UK,3,6193
7673,UK,3,6198
7700,UK,3,6200
7790,UK,2,6205
7835,UK,3,6210
7859,UK,3,6212
8605,UK,3,6231
8623,UK,3,6232
8819,UK,3,6237
8925,UK,3,6239
9025,UK,2,6242
9088,UK,3,6243
9110,UK,3,6244
9145,UK,3,6246
9209,UK,3,6248
9301,UK,3,6250
9676,UK,3,6258
11449,UK,3,6268
11767,UK,3,6273
11785,UK,3,6274
13277,UK,3,6302
13299,UK,3,6303
13740,UK,2,6308
13823,UK,3,6309
14998,UK,3,6314
15841,UK,3,6327
15998,UK,3,6331
16086,UK,2,6337
16095,UK,3,6338
16116,UK,3,6339
16309,UK,3,6343
16751,UK,2,6359
17341,UK,3,6370
17343,UK,3,6371
17516,UK,3,6373
17711,UK,3,6377
18102,UK,3,6389
18915,UK,2,6401
20264,UK,3,6409
24554,UK,3,6416
25808,UK,3,6422
30242,UK,3,6440
31541,UK,3,6441
40259,UK,3,6453
45278,UK,3,6481
49763,UK,2,6488
7061,AU,3,6510
7091,AU,3,6516
7535,AU,3,6530
8007,AU,3,6538
8702,AU,3,6552
11247,AU,1,6605
13201,AU,3,6612
13789,AU,3,6618
15119,AU,3,6636
16340,AU,3,6646
30659,AU,3,6677
31442,AU,1,6682
31448,AU,3,6683
110123,CA,3,6706
110140,CA,3,6708
110144,CA,2,6709
110175,CA,3,6711
110195,CA,2,6716
110268,CA,3,6722
110323,CA,3,6729
110333,CA,2,6734
110610,CA,3,6741
111243,CA,3,6761
112073,CA,3,6781
114318,CA,3,6829
112187,CA,3,6835
35213,IN,3,6836
35225,IN,3,6837
35261,IN,3,6840
35282,IN,2,6841
35285,IN,2,6842
39799,IN,3,6845
35648,IN,3,6846
35846,IN,2,6847
35888,IN,2,6848
35939,IN,3,6850
35963,IN,2,6851
36053,IN,2,6852
36074,IN,2,6853
36257,IN,2,6854
36299,IN,2,6855
36335,IN,2,6856
36359,IN,2,6857
36416,IN,3,6858
36572,IN,3,6859
39784,IN,2,6860
36677,IN,3,6861
39752,IN,3,6862
36911,IN,2,6863
39755,IN,3,6864
36977,IN,3,6865
36980,IN,3,6866
36995,IN,2,6867
39749,IN,2,6868
37088,IN,3,6869
37283,IN,3,6870
37352,IN,3,6871
50750,IN,2,6873
37514,IN,3,6874
37598,IN,2,6875
37784,IN,2,6876
37787,IN,3,6877
37850,IN,3,6878
37958,IN,2,6879
38180,IN,2,6880
39778,IN,2,6881
38270,IN,3,6884
38423,IN,2,6886
39767,IN,2,6889
39152,IN,2,6890
49232,IN,3,6894
39395,IN,3,6895
39449,IN,3,6896
39710,IN,2,6897
40079,IN,3,6898
40298,IN,2,6899
40352,IN,2,6900
40376,IN,3,6901
40607,IN,3,6902
49268,IN,2,6906
49166,IN,2,6907
43685,IN,3,6908
39746,IN,3,6909
49469,IN,3,6912
49475,IN,3,6913
48704,IN,3,6915
50771,IN,3,6919
48824,IN,2,6920
50774,IN,3,6921
50090,IN,3,6923
50486,IN,3,6926
50525,IN,3,6927
